X,Y,Z
433829.78,145487.84,1874.34
452728.22,56285.98,1106.43
570831.32,150783.62,221.49
528829.15,75984.84,368.02
582131.9,168983.21,196.7
561430.39,121384.0,359.15
581132.43,182783.2,230.69
528529.48,90584.8,324.41
598931.42,157482.66,169.95
398827.4,71587.0,204.19
401928.53,124588.04,549.5
466029.93,137686.8,1883.09
599230.7,139482.74,180.36
399427.86,88187.28,58.26
402728.43,112187.67,279.78
554329.78,102884.34,180.7
552229.58,95684.29,224.84
514628.95,76984.98,204.77
553129.2,80284.3,146.92
514629.37,91685.01,274.76
427228.81,112387.3,677.3
428828.37,88286.82,668.87
458128.23,61785.93,596.62
389428.28,118488.24,1045.74
393427.52,80787.25,226.98
450129.81,138887.17,1156.06
427129.01,125087.63,1184.82
428928.02,72686.47,753.35
390527.98,101087.52,116.69
392527.93,95687.44,232.66
457428.16,48785.86,1372.6
545829.44,86584.49,155.58
494229.21,93185.51,493.74
505630.12,122685.54,275.55
380828.33,131388.54,911.19
493728.82,79385.36,337.61
565330.82,130184.05,314.87
504729.76,107685.43,734.56
417728.17,89786.92,1053.27
442728.06,52586.16,659.01
442528.31,68286.24,800.45
416827.86,74486.66,393.69
486129.69,115386.01,442.57
537730.26,120384.73,319.55
485830.02,129286.2,470.87
607631.65,167782.33,167.87
536029.8,105384.62,399.39
532429.4,85484.72,158.89
567232.17,170683.77,232.88
489929.04,88685.55,317.89
531729.67,98684.74,336.15
489728.66,75485.4,370.01
576031.07,143183.58,213.02
421428.68,114787.45,1333.71
575431.56,159983.5,235.49
446329.71,134987.27,626.25
422028.98,129687.76,993.49
521030.15,120385.24,322.39
541030.4,123084.66,347.45
501928.94,81185.24,332.15
602632.27,181282.36,221.99
547929.49,92784.41,278.43
521129.8,103584.91,633.3
499729.36,95785.43,526.83
541929.86,106684.5,392.13
547229.18,78284.48,320.25
602931.64,165282.51,167.62
456428.2,58185.93,916.14
475630.3,144386.66,1169.88
388028.32,122188.32,688.3
595231.42,154382.83,172.19
387327.99,108887.92,337.35
456327.95,41685.82,938.42
595130.65,136482.97,182.5
438327.64,35386.06,750.94
387627.87,99087.54,213.11
409228.27,102987.39,247.21
477027.96,47585.75,361.75
584831.49,158883.2,196.32
583731.08,144483.34,267.04
475428.3,63885.79,1078.52
408428.44,115787.73,836.7
540229.64,99684.57,287.91
501029.62,104285.51,623.89
549030.53,127984.49,562.39
603531.59,163282.5,165.71
500930.05,119985.63,416.41
540729.35,83084.6,154.14
548730.14,114684.44,399.34
605032.02,176982.31,233.16
444329.61,131787.27,487.97
445828.32,66786.15,966.0
423028.03,79086.63,862.46
421128.34,92086.98,392.72
446528.05,50086.03,1047.42
531329.85,106684.68,543.34
380128.43,136988.59,2338.38
492728.62,72585.33,318.61
489030.05,126486.03,748.2
532930.3,121484.87,314.71
492728.99,86185.47,401.05
490129.69,110685.82,465.86
