X,Y,Z
420028.35,101587.23,1057.85
581030.78,133383.59,367.63
494328.94,83785.4,439.07
505729.9,113085.45,699.99
494329.41,100485.66,657.79
504430.29,130485.57,502.28
427428.97,121487.57,1092.92
452429.97,144587.13,2039.84
456928.2,52485.9,1204.75
391727.79,91387.43,140.3
426028.64,104187.14,911.53
393227.35,73687.17,314.93
458928.41,69985.98,816.48
408827.93,88387.06,1219.59
594931.12,145482.88,247.36
408427.67,71186.81,300.65
388828.44,129688.41,1646.92
476030.12,137286.54,1893.09
594231.55,160482.82,177.16
541730.12,113284.64,684.76
500629.24,91485.33,439.3
601531.88,170882.55,255.31
546929.33,82984.46,313.93
501828.83,75885.23,535.83
541730.59,127984.72,519.31
548029.62,98484.44,688.84
601432.49,185082.4,304.35
576031.31,151483.42,337.09
422528.88,123087.64,1594.68
447929.91,142487.26,1496.35
445428.13,55486.13,841.9
576130.92,136683.7,293.37
444327.81,41586.03,656.15
422128.53,106487.28,986.76
531129.51,91484.76,466.47
490428.87,82385.47,460.62
490729.86,117785.88,857.79
569131.87,164383.72,324.95
533429.16,76484.76,355.61
488729.17,95285.68,607.03
492229.42,102685.77,682.97
443428.72,93486.72,458.3
424527.66,52186.36,789.0
420929.37,145487.99,1306.37
425127.82,67186.44,716.63
423129.07,132787.81,1359.31
443528.42,76486.34,690.84
531130.96,142484.98,1003.99
533428.55,58384.83,422.38
492030.72,151486.35,1223.94
530931.49,154485.23,675.25
492130.22,137686.09,1575.81
377828.13,127488.53,931.61
408627.59,64486.69,451.32
477029.63,118086.3,796.39
455028.63,83186.37,990.22
477129.12,101186.12,722.41
454629.03,100286.61,523.65
409027.42,47486.56,366.96
556032.05,168984.26,379.21
549131.4,148484.58,398.27
549230.81,134684.58,318.16
482427.73,39585.52,701.61
565931.26,147083.94,370.0
497230.68,149486.21,1694.29
502028.26,58485.47,938.04
565030.82,130584.06,389.4
495130.2,136485.94,767.78
380828.24,127688.51,1667.57
502028.17,46485.46,834.18
447928.66,88686.61,566.87
428027.74,52486.29,632.24
391628.5,144788.61,1857.17
459129.57,121486.75,377.32
427627.86,67886.43,743.96
411927.36,37486.47,401.86
555731.83,163184.28,367.22
448828.42,75786.27,691.85
459129.17,106286.58,314.38
488328.06,52285.71,967.3
485530.42,146086.5,1304.73
486128.36,65385.6,923.72
483930.06,132786.28,1019.14
439329.03,112387.01,954.29
443428.53,85886.66,575.95
419629.5,152488.27,2127.22
418629.1,139488.04,1685.9
560432.0,165784.03,336.41
438929.33,126387.33,833.23
443328.34,70786.26,1011.35
419727.8,68986.51,662.83
439628.35,75386.41,743.68
564931.9,163083.89,321.46
439828.61,91386.77,700.97
563332.46,178483.91,244.89
420927.64,54086.41,754.33
486330.16,136386.31,935.21
535631.62,160485.13,841.49
487930.66,150686.46,1130.33
510928.13,29684.96,579.61
534431.14,144984.93,1340.39
427729.37,136787.81,816.61
600932.86,193382.49,302.76
452428.4,72986.12,882.81
552931.9,166084.42,337.88
448029.53,127187.14,453.61
459128.94,97386.45,291.16
456929.1,103486.61,404.0
452228.67,86786.47,729.21
448529.16,110486.87,852.65
459228.58,79886.23,839.14
458729.45,118486.72,371.81
493030.16,133485.94,610.79
545330.97,139484.82,312.32
496128.51,67385.37,896.12
501931.08,156486.15,820.06
506428.23,42985.25,573.31
495130.55,146686.24,1180.07
497228.19,51885.56,665.2
544631.48,152984.66,1017.39
501930.49,142485.96,602.03
506428.31,55985.36,919.97
539231.44,154484.98,525.42
521528.52,52385.03,219.86
548730.66,131184.55,353.69
516228.29,32884.96,384.11
521428.67,64884.96,878.29
538331.17,142484.87,771.14
547331.39,148484.63,554.98
454629.19,107586.68,481.51
389427.12,43086.78,109.97
414227.38,36786.42,409.26
409429.0,144388.22,2711.26
455029.61,124486.9,421.73
455129.61,124486.9,421.73
618031.07,154482.21,240.61
490628.54,70485.36,570.79
530728.6,61484.87,431.6
490628.08,52485.67,545.55
424229.19,134787.84,1386.13
444129.53,128787.24,487.91
443429.12,114386.96,868.62
423129.56,150188.17,1819.3
515828.43,54585.12,221.74
542631.45,152084.72,1176.86
481630.29,142486.53,1839.49
542430.95,139484.88,314.4
517628.69,67484.98,381.37
403228.89,148488.43,1726.82
474629.56,115486.37,419.5
435428.37,82486.65,793.85
416027.67,60686.53,594.16
472629.82,128986.55,1639.76
531231.97,168385.1,692.25
405028.68,134488.1,2357.48
416127.48,45486.41,498.8
436528.72,100486.86,953.05
508631.13,153685.88,793.37
558331.04,140184.26,249.04
508630.61,139485.72,677.3
558131.62,156184.17,369.62
396828.63,145488.57,2566.21
465328.81,94486.27,325.09
547532.12,172584.71,401.07
463628.61,78686.1,872.92
501831.41,166486.21,1294.72
397528.55,132688.29,1537.77
400628.97,153688.67,1436.18
469629.38,111186.44,350.37
467828.75,87286.17,558.92
468229.76,127486.68,1001.14
467328.46,72385.91,860.81
587232.7,190783.03,401.11
399928.65,138488.34,2079.34
511028.34,51585.21,546.57
515431.01,147785.64,1089.04
512928.55,64485.08,464.55
514530.41,130485.4,586.62
454629.6,124486.92,421.53
430527.85,57886.29,635.79
409929.02,144688.22,2605.02
430127.62,40486.19,639.46
452629.18,107186.72,751.55
535631.66,161485.1,909.26
571930.83,128283.92,482.42
389427.06,37486.73,115.64
477228.25,60885.77,1238.19
564131.22,145184.01,304.29
526628.52,52484.99,243.52
563031.81,160383.96,285.71
479327.85,45385.66,1075.96
524728.83,68984.84,1170.94
497428.08,45085.45,789.87
524430.7,136685.29,1044.53
384928.37,126588.39,1260.46
479430.24,140686.54,1984.19
499628.29,60585.52,1093.2
524431.41,151785.23,1332.24
411927.48,48486.51,326.24
452629.0,99186.63,536.17
433928.75,103486.97,868.8
536131.75,163585.04,897.03
454528.64,83886.39,970.93
433629.07,115587.22,1381.31
411827.64,64186.63,469.45
555331.67,158084.29,412.13
513130.54,135585.51,914.79
553631.31,145484.46,255.92
512931.15,151485.74,1086.4
468128.49,74685.92,758.41
506431.48,167186.06,1374.29
564932.25,172483.87,233.43
469428.75,89086.12,476.25
521131.9,166485.52,853.88
465929.8,130086.74,1962.37
540131.91,168684.88,470.85
395728.53,135988.44,1962.92
463629.35,112486.55,526.79
508428.59,67485.17,471.7
507328.3,54585.34,1054.61
568230.71,125083.95,497.9
474928.58,76585.81,758.27
407927.31,37486.48,367.71
407428.7,133488.05,2194.63
412827.41,41186.47,447.6
436528.89,106787.0,708.2
407428.99,146588.29,1628.9
404827.43,50086.67,243.6
472728.89,94486.09,510.0
436629.2,124487.36,1124.47
414129.0,139788.04,2459.48
413827.61,56586.51,670.16
517630.72,138985.46,1221.44
522930.52,132985.29,560.57
481627.87,48085.69,1062.47
515431.24,151985.66,1510.56
523931.14,148085.23,1530.51
483128.24,61985.66,571.19
553130.25,120184.31,382.92
514430.04,115285.21,750.22
552329.8,105684.39,297.08
514330.4,130185.4,623.15
402927.94,91487.21,676.34
401827.58,76487.05,300.75
466228.4,67585.92,961.9
497430.12,126785.73,959.98
524729.39,87684.85,295.65
526629.95,111484.91,661.96
498229.76,109485.62,713.65
524628.9,70484.85,962.61
527730.4,126985.11,399.81
411528.5,115487.6,1107.45
430628.26,82786.67,1141.16
434028.0,63186.29,739.14
573831.23,148183.56,310.33
432127.8,49286.24,706.95
607631.3,154482.51,172.5
607731.29,154482.51,172.5
607631.3,154582.51,172.5
411828.29,103487.39,1028.7
430328.63,98686.94,760.17
571630.87,130583.9,338.57
587431.43,156583.12,183.63
472628.18,52485.75,915.76
474730.31,145786.71,1865.26
407428.01,93887.14,1404.13
412428.55,121487.74,1943.59
435927.99,56186.21,562.53
438929.81,141987.6,1453.12
406727.72,78586.99,429.09
471528.34,65085.86,1112.5
588230.99,142483.19,242.19
473829.96,133486.55,1877.84
435527.69,41186.16,767.11
412028.35,106487.42,754.02
518329.94,109585.04,597.57
577832.38,181383.31,356.71
522229.51,92784.86,548.29
516129.26,85684.96,475.94
482729.7,117786.17,894.46
481028.7,79985.66,670.03
524429.14,76484.94,215.77
577531.79,165983.38,305.66
517930.32,127485.33,364.72
517428.78,70784.96,300.05
481629.21,102086.0,709.17
479729.01,94785.97,747.77
397628.38,115387.96,938.3
396128.46,127588.28,2116.12
463229.9,135586.81,2518.54
603131.51,159882.54,167.01
585132.19,178283.0,316.7
509129.23,88585.14,351.81
592531.9,172482.84,191.25
582931.61,161783.25,252.03
509028.89,76485.09,357.76
592632.54,186982.83,362.08
557929.69,97884.21,287.49
506428.77,73385.15,387.9
586531.69,164083.12,193.26
510830.27,127085.45,442.43
507629.11,85485.15,545.51
510729.94,112385.29,666.48
587232.31,181382.96,338.82
558130.37,123284.11,541.63
397327.54,79287.19,404.63
464429.85,132586.77,2208.57
462528.36,66185.92,1020.76
463528.2,49785.85,1148.99
397528.0,93787.39,644.53
519828.94,73684.96,325.45
524230.37,128385.2,373.34
574531.6,160483.53,290.1
481629.27,103886.01,591.18
522830.09,115485.02,804.33
519629.44,91484.91,509.26
574832.3,178483.4,239.37
544629.46,88484.52,154.7
481129.78,121486.26,980.48
407428.65,129988.05,1749.25
472029.99,136086.64,2308.85
437027.77,43486.14,583.5
413728.21,99287.29,1163.84
407328.45,112687.61,712.49
411927.93,85486.96,295.23
437828.06,59286.2,708.83
453627.99,43485.88,1328.26
429928.81,108587.14,895.44
569930.96,136183.89,324.97
429929.01,122387.51,1662.82
434429.79,145287.83,2058.55
454628.21,58385.96,1212.97
569431.29,149283.75,280.44
528929.06,73584.81,788.62
580631.82,166483.29,206.61
562530.41,120983.98,463.47
580632.5,184283.24,331.29
528929.48,90584.79,373.42
600331.35,154482.66,188.07
399727.41,70786.96,336.24
402628.57,127188.1,1973.95
466529.91,136586.78,2411.33
599030.88,142482.72,208.53
398427.84,88187.29,154.86
402228.41,109787.59,634.86
553629.75,101484.36,550.29
551529.62,97484.34,321.22
513429.01,79184.99,459.59
551429.21,80184.34,252.3
513329.44,94285.05,363.93
426028.72,109487.25,952.5
427628.22,85486.73,965.37
457028.21,61485.93,774.07
389728.28,118488.23,1108.37
393527.55,82187.25,371.3
452329.81,138087.1,1660.75
425828.98,124487.63,1352.49
427628.0,73386.47,1250.33
390128.01,103487.66,642.12
393927.96,95387.42,554.98
457228.17,49485.87,1574.39
545829.42,85484.49,161.88
494729.26,94485.52,597.0
504430.08,121485.56,381.79
380628.38,133488.55,1926.07
494128.83,79485.36,384.8
565230.77,127584.05,464.39
504529.73,106485.41,1050.33
416628.13,90586.94,1249.69
443428.08,52986.15,727.6
443428.32,68486.22,1067.65
416727.85,73586.64,544.11
485029.63,113486.01,754.47
537330.2,118484.72,406.06
486129.99,127486.16,877.62
607131.72,169482.34,170.86
536429.75,103584.63,921.52
531329.4,85484.74,165.14
567232.14,169983.78,291.82
488429.09,91485.63,390.27
531629.71,100484.73,519.17
